2026-07-12 19:17:33,871 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-dc4f563c7aef4102bddf99e64a838bf6\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-13 19:14:14,798 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-bd9a47eb60484d378a9788d266855971\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-13 23:25:55,414 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-557957d32cc84f65a3c17f0f457e720a\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-14 13:17:37,189 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-bf8634d0b8094d3d952219b3daaced5d\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-15 10:17:34,595 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-34b5e8db0f7a4c209065710e8d4f19b3\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-15 10:18:51,338 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-4c50d3933ec54577a1c4915a2ca01589\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-15 10:26:22,584 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-a774d95ff13848b1b84422c62bed2f0f\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-16 10:18:55,169 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-25e6863af4944912bbb4cb597d18f0cc\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-16 10:25:34,889 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-bf310818aadb4cc6a7f29ea0c183c6ac\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-16 12:10:23,287 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-438b6eac4efa484fbacb927116e2e484\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-16 20:26:24,874 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-ac2b0e7be7e04aff9fb404675cec63e4\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
2026-07-16 20:41:18,090 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-123456789abe (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-712bbe2bfc0c4b1ca716564b3a807830\12345678-1234-4234-8234-123456789abe, push_targets=0, config=ok)
