2026-07-12 19:21:49,381 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-8fc5f81aab454fa18bc0cbd1f7c93039\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-14 13:18:10,629 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-4bb985839ccc4dd4aba546216216a674\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 10:20:06,956 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-deffd608afe74747baf80e1161d6d3d4\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 10:25:40,234 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-c653854a08fd406991a8cb5b10854ffb\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 12:10:49,204 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-2d62c633696f4106b7dcda06d34327bb\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 12:10:49,457 WARNING app.notify.service: unreadable projection (PermissionError)
2026-07-16 12:14:38,274 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-e775160d4eb84554804a117b76ae5d8c\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 20:39:24,614 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-0123532af019482ea2a476be5deb7657\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 20:39:49,370 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-4ba394fbcefb4a71a9ab7de87b6f02c8\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 20:59:00,253 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-8d3d1c1f43194bb2a0a25aed68646689\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 21:02:11,337 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-8f087f89ee334b5ba8a9f8f925ba496a\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 21:03:53,185 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-291ae511bd7e4f9a88b94faf5603346c\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 22:19:15,618 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-512911c93bc84efabc9bb7ec66fa60d4\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 22:23:21,973 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-e335fabbdf714917980ba35b583d6f94\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-16 22:25:58,850 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-fdfb0dbf95ab4c7c8cd869931ac04633\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 01:14:13,772 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-51f6441bda9f40cdb72a619d5f7cc788\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 01:37:28,141 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-f3cd8f031306420781e48eaf1744c907\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 01:40:01,400 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-312a9ed91db045638714a9ac94556b00\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 01:42:03,267 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-4dec87b9de0d49368c504f0564364c7e\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 01:44:51,803 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-59b14e77c8f74510a041a046b7fb399a\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 01:49:26,667 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-f992a7a8f3444ce59e25b5f3782be8d8\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 09:40:04,419 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-edafc3fd425f43108d715901225c0a0b\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 11:08:46,157 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-28631bfacce9422e8af8a27ab4bd0b6c\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 11:13:04,969 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-a71c97ae6be343c8a6d9c35442273e86\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-17 11:17:13,247 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-22f786e64a0445649aa5972dc6ebf464\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
2026-07-19 19:23:24,294 INFO app.notify: notifier online for trial 12345678-1234-4234-8234-fedcba987654 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-db2423c20e904e2ab9acdeb0c7bc8215\12345678-1234-4234-8234-fedcba987654, push_targets=0, config=ok)
