2026-07-12 19:15:47,675 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-d54377852449450cb21b5259beeabeba\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:49,209 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-514a50612eaa493396345e4deaa29c08\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:50,015 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-dd813428167549a6b5b36f9f84c1a956\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:50,733 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-d4080be87fd6415d86ebfdd4aff3ef5d\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:51,353 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-6c9ed5f9aee74bfc8c631502510fc8a0\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:52,132 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-285bd7fad88149f3bb056ec6d47f7c71\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:52,925 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-7e883ab1f0d74c30aeef99a2e781a537\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:53,824 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-9a4d5ed753724aeeabc7d10ee81029f8\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 19:15:54,605 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-80f571d897504eca97eaeaf3299ab600\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 20:37:12,653 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-e25558987c754911b29db49aa766903c\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 20:37:16,877 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-1fae768357774757a4e6ba5f615e0cca\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-12 20:37:20,361 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-e6b062e072f146e59e84f13304977550\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
2026-07-16 10:16:48,788 INFO app.notify: notifier online for trial 87654321-4321-4234-8321-cba987654321 (run_dir=C:\Users\juanl\Documents\GitHub\course-DEV-IDE-with-AGENTS-hybrid\.tmp\pytest-fixtures\case-90c160dac88d4c39aeccc909e57b98a1\87654321-4321-4234-8321-cba987654321, push_targets=0, config=ok)
